step;virtual;physical
0;1931;1832
1;1931;1832
2;1933;1834
3;1935;1836
4;1936;1837
5;1938;1839
6;1938;1839
7;1940;1841
8;1941;1842
9;1943;1844
10;1945;1846
11;1947;1848
12;1948;1849
13;1950;1851
14;1951;1852
15;1951;1852
16;1951;1852
17;1953;1854
18;1954;1855
19;1957;1858
20;1958;1859
21;1958;1859
22;1962;1863
23;1966;1867
24;1970;1871
25;1973;1874
26;1978;1879
27;1982;1883
28;1985;1886
29;1989;1890
30;1992;1893
31;1996;1897
32;1996;1897
33;1997;1898
34;1997;1898
35;1997;1898
36;1997;1898
37;1997;1898
38;1996;1897
39;1998;1899
40;1999;1900
41;1999;1900
42;1998;1898
43;2001;1902
44;2005;1906
45;2005;1906
46;2008;1908
47;2005;1904
48;1991;1891
49;1993;1892
50;1994;1893
51;1995;1894
52;1994;1893
53;1993;1891
54;1990;1888
55;1991;1889
56;1991;1889
57;1993;1891
58;1993;1891
59;1993;1891
60;1993;1891
61;1994;1892
62;1996;1894
63;1999;1897
64;2002;1899
65;2003;1899
66;2004;1901
67;2006;1902
68;2007;1903
69;2008;1904
70;2008;1904
71;2009;1905
72;2008;1904
73;2007;1902
74;2009;1904
75;2011;1906
76;2012;1908
77;2011;1907
78;2012;1908
79;2012;1908
80;2013;1909
81;2012;1908
82;2012;1907
83;2013;1908
84;2013;1908
85;2006;1900
86;1988;1882
87;1987;1881
88;1985;1879
89;1986;1880
90;1989;1883
91;1992;1885
92;1994;1887
93;1996;1889
94;1998;1890
95;1999;1891
96;2003;1895
97;2005;1898
98;2006;1899
99;2007;1900
100;2008;1901
101;2009;1901
102;2012;1904
103;2013;1906
104;2014;1906
105;2013;1905
106;2013;1905
107;2015;1907
108;2016;1907
109;2016;1908
110;2016;1908
111;2017;1908
112;2017;1908
113;2017;1908
114;2018;1908
115;2018;1908
116;2018;1908
117;2018;1908
118;2017;1907
119;2019;1908
120;2018;1908
121;2006;1896
122;2004;1894
123;2006;1896
124;2005;1895
125;2003;1893
126;2003;1893
127;1992;1882
128;1990;1879
129;1992;1880
130;1993;1881
131;1995;1882
132;1997;1884
133;1997;1883
134;1998;1884
135;1998;1885
136;2001;1888
137;2004;1891
138;2006;1893
139;2009;1896
140;2011;1897
141;2012;1898
142;2013;1899
143;2014;1901
144;2018;1904
145;2020;1906
146;2021;1908
147;2022;1908
148;2022;1908
149;2020;1906
150;2021;1906
151;2022;1907
152;2023;1907
153;2023;1907
154;2023;1906
155;2023;1906
156;2024;1906
157;2026;1907
158;2027;1908
159;2027;1908
160;2028;1908
161;2027;1907
162;2027;1907
163;2029;1908
164;2028;1905
165;2028;1905
166;2030;1907
167;2032;1908
168;2031;1906
169;2029;1903
170;2024;1898
171;2026;1899
172;2028;1900
173;2028;1900
174;2029;1901
175;2032;1904
176;2035;1907
177;2036;1908
178;2035;1907
179;2037;1907
180;2037;1908
181;2037;1907
182;2039;1908
183;2038;1907
184;2038;1906
185;2037;1905
186;2038;1905
187;2039;1905
188;2038;1903
189;2040;1905
190;2041;1905
191;2041;1904
192;2042;1905
193;2042;1904
194;2042;1904
195;2042;1904
196;2043;1904
197;2043;1904
198;2042;1902
199;2043;1903
200;2043;1904
201;2044;1904
202;2047;1906
203;2049;1906
204;2050;1907
205;2052;1908
206;2051;1907
207;2050;1906
208;2051;1907
209;2052;1908
210;2051;1906
211;2052;1908
212;2052;1908
213;2053;1908
214;2052;1908
215;2053;1908
216;2052;1907
217;2053;1908
218;2051;1906
219;2049;1904
220;2049;1904
221;2051;1906
222;2052;1907
223;2050;1905
224;2045;1898
225;2047;1899
226;2047;1899
227;2049;1901
228;2050;1902
229;2052;1904
230;2052;1903
231;2052;1903
232;2053;1903
233;2055;1905
234;2054;1904
235;2054;1903
236;2054;1903
237;2056;1905
238;2058;1907
239;2059;1907
240;2055;1903
241;2053;1901
242;2056;1904
243;2058;1906
244;2059;1907
245;2061;1908
246;2060;1907
247;2059;1905
248;2058;1904
249;2057;1903
250;2055;1899
251;2054;1898
252;2058;1902
253;2063;1907
254;2064;1908
255;2063;1907
256;2064;1908
257;2062;1906
258;2062;1906
259;2059;1903
260;2062;1906
261;2064;1908
262;2064;1908
263;2064;1908
264;2063;1907
265;2063;1907
266;2063;1907
267;2064;1908
268;2063;1907
269;2064;1908
270;2064;1908
271;2064;1908
272;2064;1908
273;2064;1908
274;2062;1906
275;2063;1907
276;2064;1908
277;2065;1908
278;2063;1907
279;2064;1907
280;2064;1908
281;2065;1908
282;2065;1908
283;2065;1908
284;2065;1908
285;2064;1907
286;2065;1908
287;2064;1908
288;2064;1908
289;2064;1908
290;2064;1908
291;2065;1908
292;2065;1908
293;2065;1908
294;2065;1908
295;2065;1908
296;2065;1908
297;2065;1908
298;2065;1908
299;2065;1908
300;2065;1908
301;2065;1908
302;2065;1908
303;2065;1908
304;2065;1908
305;2065;1908
306;2065;1908
307;2064;1907
308;2064;1907
309;2066;1908
310;2066;1908
311;2066;1908
312;2066;1908
313;2066;1908
314;2065;1906
315;2065;1906
316;2063;1903
317;2066;1906
318;2067;1908
319;2067;1908
320;2068;1909
321;2068;1909
322;2067;1907
323;2067;1907
324;2068;1908
325;2068;1908
326;2067;1907
327;2067;1907
328;2067;1907
329;2067;1907
330;2068;1908
331;2068;1908
332;2067;1907
333;2067;1907
334;2068;1908
335;2068;1908
336;2068;1908
337;2069;1908
338;2064;1899
339;2065;1900
340;2067;1902
341;2069;1904
342;2072;1906
343;2074;1907
344;2074;1908
345;2073;1906
346;2073;1905
347;2076;1908
348;2075;1907
349;2076;1908
350;2076;1908
351;2077;1908
352;2076;1906
353;2077;1907
354;2079;1908
355;2078;1908
356;2079;1908
357;2079;1908
358;2080;1908
359;2081;1908
360;2080;1907
361;2082;1909
362;2082;1909
363;2083;1909
364;2082;1908
365;2082;1908
366;2082;1908
367;2082;1908
368;2082;1908
369;2082;1908
370;2082;1908
371;2082;1908
372;2083;1908
373;2082;1907
374;2083;1909
375;2083;1908
376;2083;1908
377;2083;1908
378;2083;1908
379;2083;1908
380;2083;1908
381;2083;1908
382;2083;1909
383;2083;1909
384;2084;1909
385;2084;1909
386;2084;1909
387;2084;1909
388;2081;1906
389;2081;1905
390;2081;1905
391;2083;1907
392;2082;1905
393;2082;1906
394;2082;1906
395;2083;1906
396;2084;1907
397;2086;1908
398;2086;1908
399;2084;1907
400;2086;1908
401;2087;1908
402;2088;1907
403;2087;1907
404;2087;1907
405;2088;1908
406;2089;1908
407;2089;1907
408;2090;1908
409;2088;1906
410;2089;1906
411;2089;1907
412;2092;1908
413;2092;1908
414;2092;1908
415;2092;1907
416;2092;1908
417;2094;1908
418;2094;1908
419;2095;1908
420;2094;1907
421;2094;1907
422;2095;1908
423;2096;1908
424;2096;1906
425;2096;1906
426;2098;1908
427;2098;1908
428;2097;1906
429;2098;1906
430;2099;1907
431;2099;1907
432;2099;1907
433;2097;1905
434;2100;1908
435;2100;1908
436;2099;1906
437;2101;1908
438;2102;1908
439;2102;1906
440;2102;1906
441;2106;1907
442;2108;1908
443;2109;1908
444;2109;1908
445;2109;1907
446;2109;1907
447;2110;1908
448;2110;1908
449;2110;1908
450;2110;1908
451;2111;1908
452;2111;1908
453;2109;1906
454;2110;1906
455;2112;1908
456;2112;1908
457;2113;1907
458;2114;1907
459;2114;1907
460;2115;1908
461;2115;1908
462;2116;1908
463;2114;1907
464;2115;1907
465;2116;1908
466;2116;1908
467;2114;1906
468;2114;1905
469;2115;1903
470;2117;1905
471;2119;1908
472;2120;1908
473;2119;1907
474;2120;1907
475;2119;1907
476;2118;1905
477;2120;1908
478;2118;1906
479;2117;1904
480;2117;1902
481;2117;1901
482;2119;1902
483;2119;1902
484;2119;1902
485;2124;1906
486;2125;1907
487;2124;1907
488;2124;1907
489;2125;1907
490;2126;1908
491;2127;1908
492;2126;1908
493;2126;1908
494;2127;1907
495;2128;1908
496;2127;1908
497;2127;1908
498;2128;1908
499;2128;1908
500;2127;1907
501;2127;1907
502;2127;1906
503;2129;1908
504;2129;1908
505;2129;1908
506;2129;1908
507;2129;1908
508;2129;1907
509;2129;1907
510;2130;1908
511;2130;1907
512;2130;1907
513;2131;1908
514;2131;1908
515;2131;1908
516;2131;1907
517;2132;1908
518;2132;1907
519;2132;1907
520;2132;1907
521;2132;1907
522;2133;1908
523;2133;1908
524;2133;1908
525;2133;1908
526;2134;1908
527;2134;1908
528;2133;1907
529;2133;1906
530;2133;1905
531;2133;1905
532;2135;1906
533;2134;1905
534;2135;1906
535;2136;1907
536;2137;1908
537;2136;1907
538;2138;1908
539;2138;1908
540;2138;1907
541;2139;1908
542;2139;1908
543;2139;1907
544;2139;1907
545;2138;1906
546;2138;1905
547;2141;1908
548;2141;1908
549;2142;1908
550;2142;1908
551;2142;1907
552;2143;1906
553;2144;1908
554;2145;1907
555;2145;1906
556;2145;1906
557;2145;1906
558;2145;1905
559;2145;1905
560;2145;1904
561;2146;1905
562;2148;1906
563;2148;1905
564;2147;1904
565;2150;1907
566;2151;1908
567;2151;1908
568;2151;1907
569;2151;1907
570;2150;1905
571;2151;1905
572;2152;1906
573;2153;1906
574;2155;1908
575;2154;1906
576;2154;1906
577;2156;1906
578;2157;1908
579;2157;1907
580;2158;1906
581;2158;1906
582;2158;1906
583;2160;1908
584;2160;1908
585;2159;1908
586;2160;1908
587;2160;1908
588;2160;1907
589;2161;1908
590;2161;1908
591;2161;1907
592;2162;1906
593;2164;1908
594;2165;1908
595;2165;1908
596;2164;1907
597;2164;1905
598;2166;1907
599;2166;1908
600;2167;1907
601;2167;1906
602;2168;1906
603;2168;1906
604;2171;1908
605;2171;1906
606;2171;1906
607;2174;1908
608;2174;1908
609;2174;1908
610;2174;1908
611;2174;1906
612;2175;1908
613;2177;1908
614;2177;1908
615;2177;1908
616;2178;1907
617;2178;1907
618;2180;1906
619;2184;1908
620;2184;1908
621;2185;1908
622;2185;1905
623;2186;1905
624;2188;1907
625;2188;1907
626;2188;1906
627;2190;1906
628;2189;1905
629;2191;1907
630;2193;1908
631;2192;1905
632;2192;1905
633;2195;1906
634;2197;1907
635;2200;1905
636;2200;1905
637;2201;1906
638;2203;1907
639;2204;1908
640;2205;1908
641;2205;1908
