step;virtual;physical
0;705;624
1;715;632
2;726;643
3;739;656
4;754;672
5;764;681
6;775;692
7;784;702
8;789;706
9;804;721
10;815;732
11;826;743
12;828;745
13;833;753
14;844;763
15;852;773
16;860;781
17;955;876
18;964;886
19;973;894
20;982;904
21;993;913
22;1003;923
23;1012;932
24;1021;941
25;1021;942
26;1027;948
27;1044;964
28;1053;974
29;1062;984
30;1072;993
31;1083;1003
32;1093;1013
33;1103;1023
34;1112;1032
35;1122;1042
36;1132;1052
37;1142;1062
38;1152;1072
39;1164;1084
40;1174;1094
41;1184;1104
42;1195;1115
43;1205;1125
44;1206;1126
45;1221;1142
46;1229;1150
47;1237;1158
48;1246;1166
49;1256;1176
50;1265;1185
51;1272;1192
52;1281;1201
53;1290;1210
54;1294;1214
55;1300;1220
56;1305;1227
57;1309;1230
58;1311;1232
59;1315;1236
60;1320;1241
61;1327;1246
62;1336;1255
63;1352;1271
64;1353;1273
65;1360;1279
66;1366;1286
67;1372;1293
68;1379;1300
69;1397;1317
70;1399;1318
71;1409;1328
72;1425;1343
73;1426;1345
74;1438;1358
75;1444;1362
76;1459;1378
77;1461;1380
78;1467;1387
79;1482;1401
80;1483;1402
81;1498;1417
82;1499;1418
83;1518;1437
84;1526;1446
85;1536;1456
86;1545;1465
87;1555;1475
88;1558;1477
89;1569;1489
90;1588;1507
91;1596;1516
92;1600;1519
93;1611;1529
94;1620;1536
95;1630;1545
96;1640;1555
97;1649;1565
98;1661;1576
99;1670;1586
100;1682;1597
101;1686;1601
102;1695;1610
103;1702;1618
104;1710;1625
105;1716;1633
106;1732;1650
107;1735;1653
108;1741;1661
109;1756;1677
110;1766;1686
111;1776;1696
112;1778;1698
113;1793;1714
114;1800;1721
115;1809;1729
116;1819;1738
117;1827;1747
118;1836;1755
119;1844;1762
120;1847;1764
121;1852;1769
122;1857;1774
123;1863;1781
124;1871;1789
125;1878;1796
126;1890;1798
127;1902;1810
128;1906;1814
129;1921;1810
130;1933;1803
131;1944;1798
132;1946;1797
133;1957;1790
134;1975;1784
135;1980;1781
136;1982;1784
137;1986;1788
138;1989;1791
139;1992;1794
140;1994;1797
141;1998;1800
142;2001;1803
143;2005;1807
144;2010;1811
145;2014;1816
146;2018;1820
147;2022;1824
148;2025;1827
149;2031;1834
150;2038;1841
151;2044;1847
152;2051;1854
153;2058;1861
154;2065;1868
155;2073;1875
156;2080;1882
157;2086;1888
158;2095;1897
159;2098;1901
160;2104;1907
161;2111;1914
162;2122;1925
163;2135;1938
164;2138;1941
165;2148;1950
166;2160;1963
167;2164;1967
168;2169;1972
169;2171;1974
170;2175;1977
171;2176;1978
172;2179;1981
173;2183;1985
174;2184;1986
175;2185;1988
176;2187;1990
177;2189;1992
178;2192;1994
179;2196;1999
180;2201;2004
181;2211;2001
182;2228;2001
183;2234;2003
184;2238;2007
185;2245;2015
186;2250;2020
187;2254;2023
188;2260;2028
189;2265;2034
190;2268;2036
191;2272;2040
192;2277;2044
193;2282;2037
194;2287;2029
195;2292;2020
196;2299;2021
197;2303;2025
198;2306;2028
199;2311;2034
200;2318;2041
201;2322;2045
202;2343;2015
203;2344;2016
204;2349;2013
205;2355;2017
206;2361;2024
207;2364;2026
208;2364;2026
209;2364;2027
210;2364;2027
211;2368;2031
212;2376;2038
213;2378;2040
214;2383;2045
215;2417;2004
216;2424;2011
217;2432;2018
218;2440;2026
219;2440;2026
220;2440;2027
221;2440;2027
222;2440;2027
223;2440;2027
224;2441;2028
225;2447;2034
226;2454;2040
227;2458;2046
228;2469;1985
229;2476;1991
230;2484;1998
231;2491;2005
232;2500;2014
233;2506;2020
234;2513;2026
235;2513;2026
236;2513;2027
237;2513;2027
238;2513;2027
239;2513;2027
240;2513;2027
241;2515;2029
242;2520;2034
243;2525;2039
244;2529;2043
245;2542;2014
246;2551;2000
247;2559;2004
248;2569;2013
249;2576;2020
250;2582;2026
251;2582;2027
252;2582;2027
253;2582;2027
254;2582;2027
255;2582;2027
256;2582;2027
257;2583;2027
258;2652;2026
259;2652;2026
260;2652;2027
261;2652;2027
262;2652;2027
263;2652;2027
264;2652;2027
265;2652;2027
266;2654;2029
267;2660;2035
268;2661;2036
269;2671;2046
270;2793;2030
271;2797;2034
272;2798;2035
273;2801;2038
274;2803;2040
275;2804;2041
276;2809;2045
277;2880;2042
278;2882;2039
279;2882;2010
280;2882;2008
281;2886;1990
282;2889;1985
283;2892;1977
284;2896;1964
285;2896;1963
286;2901;1955
287;2903;1952
288;2905;1948
289;2910;1952
290;2913;1955
291;2919;1961
292;2927;1969
293;2928;1970
294;2930;1970
295;2935;1976
296;2937;1978
297;2942;1983
298;2943;1984
299;2946;1987
300;2949;1990
301;2954;1994
302;2966;2006
303;2967;2007
304;2971;2010
305;2979;2019
306;2984;2024
307;2986;2026
308;2986;2026
309;2986;2026
310;2986;2026
311;2987;2027
312;2990;2030
313;2993;2033
314;2996;2036
315;3000;2040
316;3004;2044
317;3005;2033
318;3007;2028
319;3011;2031
320;3015;2035
321;3018;2038
322;3022;2042
323;3026;2046
324;3026;2041
325;3026;2032
326;3026;2025
327;3026;2017
328;3026;2009
329;3026;2001
330;3027;1985
331;3027;1985
332;3028;1986
333;3028;1986
334;3028;1987
335;3029;1987
336;3029;1987
337;3029;1987
338;3029;1987
339;3029;1987
340;3029;1987
341;3029;1987
342;3029;1987
343;3029;1987
344;3029;1987
345;3029;1987
346;3029;1987
347;3029;1987
348;3029;1987
349;3029;1987
350;3029;1987
351;3029;1986
352;3030;1986
353;3030;1982
354;3030;1977
355;3031;1973
356;3033;1969
357;3033;1968
358;3034;1967
359;3034;1966
360;3038;1961
361;3041;1963
362;3043;1965
363;3045;1967
364;3046;1968
365;3047;1969
366;3048;1970
367;3048;1971
368;3049;1971
369;3050;1972
370;3053;1975
371;3055;1977
372;3056;1978
373;3058;1980
374;3061;1983
375;3061;1984
376;3062;1984
377;3063;1985
378;3064;1986
379;3065;1987
380;3066;1988
381;3066;1988
382;3067;1989
383;3068;1990
384;3068;1890
385;3068;1503
386;3068;1116
387;3068;751
388;3068;523
389;3068;517
390;3068;510
391;3068;504
392;3068;497
393;3068;491
394;3068;484
395;2983;480
396;2850;477
397;2654;476
398;2425;475
399;2032;470
400;1880;467
401;1874;467
402;1867;467
403;1761;473
404;1648;470
405;1552;468
406;1307;460
407;1236;459
408;1230;459
409;1220;458
410;1214;458
